m,alph,code,T,n_sums,i,d,sum,r,s,k,aligned,nX,nY,nZ,v_xy,v_yz,l1_xy,l1_yz,db_xy,db_yz,defX,defY,defZ,in_LA,in_LT,Tdot_v,anc_acf,anc_Tcube,eq_ok,type,types,seed,Wlen
2,0123,32 31 20 01,"5,4,2,1",4,226,84,121,0,0,42,1,42,42,42,"1,-2,2,-1","-1,2,-2,1",6,6,0,0,0,0,0,0,1,0,0,1,1,"0,0",0:0|0:0|0:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,227,84,121,1,0,42,0,41,41,41,"1,-2,2,-1","-1,2,-2,1",6,6,0,0,4,4,4,0,1,0,0,1,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,228,84,121,0,0,42,1,42,42,42,"1,-2,2,-1","-1,2,-2,1",6,6,0,0,0,0,0,0,1,0,0,1,1,"0,0",0:0|0:0|0:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,229,80,114,1,0,40,0,39,39,39,"2,-3,2,-1","-2,4,-4,2",8,12,-1,0,0,1,1,0,0,1,0,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,229,84,121,1,0,42,0,41,41,41,"1,-2,2,-1","-1,2,-2,1",6,6,0,0,2,2,2,0,1,0,0,1,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,230,79,114,0,1,39,0,39,39,39,"2,-3,2,-1","-2,4,-3,1",8,10,-1,-1,0,1,2,0,0,1,0,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,230,84,121,0,0,42,1,42,42,42,"1,-2,2,-1","-1,2,-2,1",6,6,0,0,0,0,0,0,1,0,0,1,1,"0,0",0:0|0:0|0:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,231,84,121,1,0,42,0,41,41,41,"1,-2,2,-1","-1,2,-2,1",6,6,0,0,5,5,5,0,1,0,0,1,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,232,43,61,0,1,21,0,21,21,21,"0,-1,1,0","1,0,-1,0",2,2,2,-3,2,0,3,0,0,-2,0,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,232,84,121,0,0,42,1,42,42,42,"1,-2,2,-1","-1,2,-2,1",6,6,0,0,0,0,0,0,1,0,0,1,1,"0,0",0:0|0:0|0:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,237,25,35,1,1,12,0,12,12,12,"1,-1,1,-1","-1,1,-1,1",4,4,-2,2,1,3,1,0,0,2,1,0,1,"1,1",1:1|0:1|1:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,239,27,37,1,1,13,0,13,13,13,"0,-1,2,-1","0,1,-2,1",4,4,1,-1,1,0,1,1,0,-1,1,0,1,"1,1",1:1|0:1|1:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,249,21,29,1,1,10,0,10,10,10,"1,-1,0,0","-1,1,0,0",2,2,-1,1,2,3,2,0,0,1,1,0,1,"1,1",1:1|0:1|1:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,250,21,29,0,1,10,0,10,10,10,"0,-1,1,0","0,1,-1,0",2,2,2,-2,2,0,2,0,0,-2,1,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,263,30,40,1,0,15,0,14,14,14,"0,1,-1,0","1,-2,2,-1",2,6,-2,0,1,3,3,0,0,2,0,0,1,"1,0",1:0|1:0|1:0,2,2048
